project_curl	libcurl libcurl.dll
project_expat	libexpat
project_fontconfig	libfontconfig
project_freetype	libfreetype
project_gdal	libgdal libgdal-1.dll libgdal.dll
project_libmbfl	libmbfl mbfl.dll
project_geos	libgeos-3 libgeos_c geos_c.dll geos.dll libgeos-3-4-2.dll libgeos_c-1.dll
project_gettext	intl.dll libintl.dll libintl-8.dll
project_icu	libicudata libicui18n libicuio libicule libiculx libicutest libicutu libicuuc icudt53.dll icuin53.dll icuio53.dll icule53.dll iculx53.dll icutest53.dll icutu53.dll icuuc53.dll
project_jpeg	libjpeg
project_json-c	libjson-c libjson-c-2.dll 
project_krb5	libcom_err libgssapi_krb5 libk5crypto libkrb5 libkrb5support
project_libedit	libedit
project_libevent	libevent-2 libevent-2-0-5.dll
project_libgcc_s	libgcc_s_sjlj-1.dll
project_libiconv	libiconv iconv.dll libiconv.dll libiconv-2.dll
project_libmemcached	libmemcached libmemcachedutil
project_libpango	libpango-1 libpangoft2-1
project_libpng	libpng12 libpng16
project_libpq	libpq libpq.dll
project_libsasl2	libsasl2
project_libstdc++	libstdc++-6.dll
project_libxml2	libxml2 libxml2.dll
project_libxslt	libxslt.dll
project_memcached edb-icache
project_ncurses	libncurses
project_openldap	liblber-2 libldap-2 libldap_r-2
project_openssl	libcrypto libssl libeay32.dll ssleay32.dll
project_proj	libproj libproj-0.dll
project_pthreads	pthreadVC2.dll pthreadVC2_x64.dll
project_QT	libQt5Core libQt5Gui libQt5Network libQt5Xml libEGL.dll libGLESv2.dll qwindows.dll Qt5Core.dll Qt5Gui.dll Qt5Network.dll Qt5Widgets.dll Qt5Xml.dll libQt5WebKit.dll libQt5WebKitWidgets.dll
project_tiff	libtiff
project_uuid	libuuid
project_wxwidget	wxbase28u_net_vc_custom.dll wxbase28u_vc_custom.dll wxbase28u_xml_vc_custom.dll wxmsw28u_adv_vc_custom.dll wxmsw28u_aui_vc_custom.dll wxmsw28u_core_vc_custom.dll wxmsw28u_html_vc_custom.dll wxmsw28u_media_vc_custom.dll wxmsw28u_qa_vc_custom.dll wxmsw28u_richtext_vc_custom.dll wxmsw28u_stc_vc_custom.dll wxmsw28u_xrc_vc_custom.dll libwx_baseu-2 libwx_baseud-2 libwx_baseud_net-2 libwx_baseud_xml-2 libwx_baseu_net-2 libwx_baseu_xml-2 libwx_gtk2u_adv-2 libwx_gtk2u_core-2 libwx_base_carbonud-2 libwx_base_carbonu-2 libwx_gtk2u_xrc libwx_gtk2u_richtext libwx_gtk2u_qa libwx_gtk2u_html libwx_gtk2u_aui libwx_gtk2u_stc libwx_gtk2u_ogl libwxcode_gtk2u_wxjson
project_zlib	libz zlib1.dll
project_apache.commons.lang3	commons-lang3-3 
project_log4j	log4j-1
project_jline	jline-0
project_perl	libperl perl.exe
project_python	libpython python.exe
project_tcl	libtcl8 tcl85.dll
project_tk	libtk8 tk85.dll
project_keyutils	libkeyutils-1.2
project_snmp++	libsnmp++
project_mod_wsgi	mod_wsgi.so mod_wsgi-py33-VC10.so
project_psycopg2	psycopg2	
project_pillow	Pillow	
project_passlib	passlib 
project_alabaster	alabaster
project_babel	Babel
project_blinker	blinker
project_cython	Cython
project_distribute distribute
project_docutils	docutils
project_flask	Flask
project_flask_login	Flask-Login
project_flask_mail	Flask-Mail
project_flask_principal	Flask-Principal
project_flask_security	Flask-Security
project_flask_wtf	Flask-WTF
project_itsdangerous	itsdangerous
project_jinja2	Jinja2
project_markupsafe	MarkupSafe
project_pip	pip
project_pygments	Pygments
project_pytz	pytz
project_setuptools	setuptools
project_simplejson	simplejson
project_six	six
project_snowballstemmer	snowballstemmer
project_sphinx	Sphinx doctools.js hoverIntent.js jquery.js searchtools.js sidebar.js websupport.js
project_sphinx_rtd_theme	sphinx-rtd-theme
project_werkzeug	Werkzeug
project_wtforms	WTForms
project_colorama	colorama
project_xulrunner	redit.exe xulrunner.exe xulrunner-stub.exe mozctlx.dll mozctl.dll xpcshell.exe plugin-container.exe xpcom.dll xul.dll nssckbi.dll smime3.dll ssl3.dll nss3.dll nssdbm3.dll softokn3.dll freebl3.dll nssutil3.dll updater.exe crashreporter.exe IA2Marshal.dll AccessibleMarshal.dll sqlite3.dll xpidl.exe xpt_dump.exe xpt_link.exe js.exe js3250.dll plc4.dll plds4.dll nspr4.dll mozcpp19.dll mozcrt19.dll javaxpcom.jar javaxpcomglue.dll comm.jar classic.jar toolkit.jar en-US.jar pippki.jar PluralForm.jsm ctypes.jsm XPCOMUtils.jsm ISO8601DateUtils.jsm NetUtil.jsm Microformats.js PlacesDBUtils.jsm WindowDraggingUtils.jsm CrashSubmit.jsm DownloadUtils.jsm DownloadLastDir.jsm LightweightThemeManager.jsm SpatialNavigation.js LightweightThemeConsumer.jsm debug.js FileUtils.jsm CertUtils.jsm xulrunner libfreebl3 libnspr4 libnss3 libnssckbi libplc4 libnssutil3 libsmime3 libplds4 libsoftokn3 libssl3 libmozjs libsqlite3 libxpcom libxul mozilla-xremote-client plugin-container png2c regxpcom updater xpcshell xpidl xpt_dump xpt_link xulrunner-bin xulrunner-stub 
project_flashcanvas	flashcanvas.js
project_flotr2	flotr2.min.js
project_jquery	jquery-1.11.1.js jquery-1.8.3.min.js jquery.alphanumeric.js jquery.placeholder.js jquery-ui-1.10.2.custom.min.js 
jquery_color_picker_plugin	jquery.colorPicker.min.js
jquery_downloader_plugin	jQuery.download.js
jquery_dynatree_plugin	jquery.dynatree.min.js
jquery_editable_plugin	jquery.editable-1.3.3.min.js
jquery_qtip2_plugin	jquery.qtip.min.js
jquery_layout_plugin	jquery.layout-latest.min.js
jquery_tablesort_plugin	jquery.tableSort.js
jquery_slider_access_plugin	jquery-ui-sliderAccess.js
jquery_timepicker_plugin	jquery-ui-timepicker-addon.js
project_json2	json2.min.js
project_jstz	jstz.min.js
project_jquery_superfish	superfish.js supersubs.js
project_jquery_alphanumeric	jquery.alphanumeric.js
project_underscore	underscore-1.3.1.js underscore.js
project_pgAdmin	settings.ini
	
project_unixODBC	libodbc
